year,endpoint,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
2005,Stroke,0.96,0.71,0.49,1.32,2.01,2.65,5.17,11.4,25.91,42.06,90.57,158.9,261.67,480.33,929.77,1555.3,2762.38,4093.46,5421.66,7378.14
2006,COPD,0.1,0.06,0.05,0.28,0.42,0.51,1.02,2.09,4.67,6.95,20.4,45.27,99.35,211.7,509.74,959.35,1928.58,3202.44,4706.21,6580.19
2006,IHD,0,0,0,1.09,1.97,2.57,4.92,10.29,20.03,26.65,54.18,90.69,140.59,246.05,485.45,837.17,1695.43,3091.58,5276.42,8685.56
2006,LC,0,0,0,0.18,0.35,0.66,1.79,4.46,10.83,17.21,39.56,66.98,98.69,151.18,242.12,305.25,355.35,363.65,335.53,347.3
2006,LRI,15.41,2.4,0.85,0.77,0.75,0.62,0.77,1.13,1.6,1.83,3.7,6.26,10.08,18.47,43.46,90.44,231.4,479.94,938,1728.85
2006,NCD+LRI,48.06,15.58,10.66,15.72,20.14,23.75,42.26,82.61,157.14,212.98,433.85,714.73,1082.31,1781.5,3338.37,5445.64,9763.35,15599.59,23809.16,35081.39
2006,Stroke,0.9,0.64,0.45,1.25,1.9,2.3,4.57,10.81,26.12,37.22,86.15,151.29,241.12,429.02,857.75,1433.12,2587.11,3873.2,5180.85,7034.15
2007,COPD,0.09,0.06,0.05,0.25,0.39,0.46,0.89,1.85,4.41,6.11,18.06,40.86,90.32,190.19,464.93,884.84,1812.66,3018.76,4465.58,6242.42
2007,IHD,0,0,0,1.06,1.99,2.51,4.66,10.13,20.82,26.01,53.35,90.63,140.1,239.12,481.8,833.22,1724.78,3154.35,5395.46,8817.64
2007,LC,0,0,0,0.17,0.35,0.63,1.67,4.29,10.95,16.52,38.83,67.97,100.19,149.51,241.55,310.29,367.98,375.16,342.82,351
2007,LRI,13.5,2.18,0.77,0.71,0.72,0.58,0.71,1.07,1.61,1.72,3.52,6.04,9.66,17.32,41.25,86.16,221.8,461.45,907.98,1674.93
2007,NCD+LRI,43.82,14.62,9.95,14.92,19.58,22.61,39.38,78.93,157.66,201.68,414.3,695.14,1054.33,1695.49,3208.18,5258.11,9576.81,15318.83,23461.94,34476.34
2007,Stroke,0.81,0.6,0.42,1.19,1.88,2.21,4.26,10.47,26.26,35.1,81.44,145.24,231.86,402.55,815.93,1365.95,2511.28,3766.25,5040.76,6808.87
2008,COPD,0.08,0.06,0.05,0.24,0.37,0.46,0.87,1.68,3.94,6.1,15.8,36.35,84.42,177.81,434.11,844.69,1759.46,2917.49,4323.12,6064.29
2008,IHD,0,0,0,1.05,2.06,2.78,5.06,10.19,20.37,28.38,51.9,88.2,144.33,241.6,486.46,859.54,1803.64,3289.05,5612.11,9114.03
2008,LC,0,0,0,0.17,0.34,0.66,1.71,4.13,10.35,17.4,37.16,67,103.24,151.4,242.1,318.3,382.69,387.42,352.71,359.54
2008,LRI,12.09,2.36,0.79,0.67,0.69,0.61,0.73,1.03,1.52,1.81,3.31,5.72,9.54,16.99,40.22,85.17,220.36,455.16,895.5,1652.89
2008,NCD+LRI,40.81,15.92,10.41,14.5,19.43,23.88,40.73,76.41,149.87,210.64,390.91,663.79,1053.81,1674.37,3141.25,5250.69,9664.33,15405.25,23550.22,34530.78
2008,Stroke,0.74,0.7,0.46,1.18,1.92,2.42,4.56,10.36,24.91,37.27,76.21,136.66,231.1,395.53,794.75,1358.74,2523.44,3766.72,4999.57,6697.92
2009,COPD,0.07,0.06,0.05,0.22,0.35,0.49,0.92,1.54,3.41,6.33,13.7,32.16,78.28,171.98,411.89,821.68,1731.01,2855.71,4219.15,5944.05
2009,IHD,0,0,0,1.04,2.13,3.23,6.02,10.23,19.34,31.73,49.66,84.68,147.39,252.48,495.49,901.96,1906.55,3461.27,5878.68,9480.25
2009,LC,0,0,0,0.16,0.34,0.73,1.87,3.98,9.49,18.84,34.87,65.13,105.19,157.3,244.44,331.08,401.85,402.83,364.89,369.39
2009,LRI,10.79,2.4,0.92,0.64,0.68,0.68,0.82,1,1.39,1.97,3.07,5.37,9.34,17.2,39.6,85.43,221.26,453.15,887.69,1638.33
2009,NCD+LRI,37.88,16.69,11.86,14.15,19.42,26.34,44.92,74.27,138.18,225.94,364.18,628.14,1042.26,1706.96,3108.22,5332.69,9865.37,15654.55,23823.61,34854.47
2009,Stroke,0.66,0.75,0.57,1.16,1.96,2.78,5.33,10.26,22.88,40.62,70.32,127.22,228.51,403.46,784.44,1380.68,2569.68,3807.9,4996,6646.88
2010,COPD,0.07,0.05,0.05,0.21,0.34,0.48,0.9,1.41,3.12,6.25,12.48,28.52,76.55,165.07,392.59,790.12,1697.37,2788.94,4105.81,5820.84
2010,IHD,0,0,0,1.03,2.17,3.42,6.47,10.19,19.29,33.57,49.72,81.73,156.47,259.91,500.78,925.99,1996.91,3613.18,6130.89,9812.71
2010,LC,0,0,0,0.16,0.34,0.75,1.9,3.81,9.04,19.46,33.91,62.89,110.89,163.01,245.88,337.97,415.93,413.58,374.12,376.05
2010,LRI,9.75,2.21,0.93,0.62,0.66,0.69,0.83,0.97,1.34,2.03,2.99,5.06,9.57,17.22,38.92,84.32,220.94,450.05,876.4,1619.89
2010,NCD+LRI,35.51,16.06,12.17,13.81,19.09,26.9,45.93,71.97,132.76,232.02,353.13,592.24,1075.72,1727.16,3071.38,5328.3,10006.31,15821.88,24024.92,35074.75
2010,Stroke,0.59,0.7,0.59,1.15,1.96,2.91,5.64,10.11,22.12,41.96,68.14,119.02,235.6,407.47,773.61,1376.93,2597.42,3820.31,4965.23,6557.96
2011,COPD,0.06,0.05,0.05,0.19,0.29,0.44,0.79,1.27,2.86,6.11,11.81,27.26,71.6,157.41,371.17,753.99,1600.3,2636.55,3897.42,5592.84
2011,IHD,0,0,0,0.98,2,3.42,6.26,9.69,18.95,34.84,50.74,84.27,159.33,266.95,504.21,947.27,2013.61,3659.42,6239.87,10003.48
2011,LC,0,0,0,0.15,0.32,0.75,1.82,3.59,8.66,19.93,33.86,64.06,113.94,169.13,247.64,342.57,417.52,415.41,377.02,380.67
2011,LRI,8.86,2.1,0.9,0.57,0.59,0.65,0.77,0.91,1.29,2.06,3,5.12,9.49,17.27,38.16,83.35,214.32,438.04,853.54,1587.49
2011,NCD+LRI,33.55,15.73,11.94,12.98,17.54,26.42,43.77,67.98,127.61,236.5,351.31,593.36,1074.57,1748.46,3040.43,5318.94,9859.19,15634.52,23827.11,34950.88
