9332,86,23
9333,100,23
9334,1027,529
9335,108,50
9336,3470,2757
9337,137,52
9338,100,21
9339,103,26
9340,127,63
9341,149,91
9342,151,70
9343,234,135
9344,195,134
9345,141,94
9346,150,103
9347,78,19
9348,162,68
9349,2,1
9350,54,17
9351,9,170
9352,654,492
9353,0,1
9935,212,37
9936,30,5
9937,252,162
9938,3,0
9939,862,516
9940,36,17
9941,23,2
9942,67,2
9943,89,3
9944,22,0
9945,17,0
9946,98,54
9947,14,4
9948,6,0
9949,16,0
9950,25,0
9951,63,5
9952,51,21
9953,7,0
9954,18,1
9955,19,0
9956,44,1
9957,84,38
9958,40,13
9959,120,61
9960,69,14
9961,91,29
9962,67,4
9963,86,4
9964,82,18
9965,98,19
9966,1218,2619
9967,1745,2109
9968,79,10
9969,109,25
9970,877,577
9971,739,1012
9972,1456,1390
9973,258,149
9974,5429,12422
9975,7775,14537
9976,157,97
9977,139,80
9978,113,63
9979,93,185
9980,669,2550
9981,0,0
9982,0,0
9983,1,0
9984,8,33
10567,2,0
10568,6,0
10569,394,214
10570,103,43
10571,128,43
10574,112,31
10575,115,52
10576,230,117
10577,4,0
10578,2,0
10579,6,0
10580,2,0
10581,16,0
10582,5,0
10583,8,0
10584,267,174
10585,1328,961
10586,758,497
10587,86,41
10588,54,8
10589,59,3
10590,49,7
10591,66,11
10592,57,2
10593,53,1
10594,81,18
10595,390,197
10596,111,24
10597,15914,11940
10598,12277,9577
10599,166,112
10600,159,82
10601,142,77
10602,132,62
10603,142,98
10604,148,81
10605,182,108
10606,2950,3218
10607,928,1073
10608,134,106
10609,1036,1540
10610,183,57
10611,34,10
10612,1,0
10613,0,0
10614,21,104
10615,0,0
11198,23,0
11199,36,1
11200,55,5
11205,1057,359
11206,100,33
11207,114,23
11208,27,5
11209,26,1
11210,43,10
11211,124,84
11212,143,94
11213,64,34
11214,69,36
11215,73,41
11216,79,36
11217,178,123
11218,104,53
11219,116,74
11220,160,101
11221,88,39
11222,77,22
11223,78,22
11224,47,5
11225,27,4
11226,52,12
11227,1946,1989
11228,4564,4128
11229,56,12
11230,62,5
11231,119,35
11232,133,55
11233,126,59
11234,65,29
11235,0,0
11236,27,9
11237,124,51
11238,1,0
11239,16,4
11240,213,610
11241,80,24
11242,0,0
11243,0,0
11244,180,80
11245,1,0
11837,43,7
11838,35,1
11839,34,2
11840,116,72
11841,57,23
11842,23,5
11843,523,314
11844,94,53
11845,69,32
11846,104,54
11847,9458,6712
11848,1173,709
11849,703,412
11850,69,18
11851,40,1
11852,48,0
11853,49,0
11854,66,16
11855,66,43
11856,46,28
11857,434,306
11858,561,408
11859,84,6
11860,64,4
11861,60,2
11862,17,4
11863,30,18
11864,5,1
11865,224,86
11866,160,65
11867,147,62
11868,141,53
11869,48,18
11870,733,853
11871,1485,2091
11872,24,8
11873,119,43
11874,4,3
11875,92,36
11876,348,164
12467,37,3
12468,50,9
12469,53,12
12470,27,1
12471,66,25
12472,114,65
12473,556,343
12474,75,35
12475,608,377
12476,11846,19192
12477,1134,627
12478,51,11
12479,79,25
12480,113,64
12481,66,9
12482,52,0
12483,52,4
12484,44,17
12485,60,29
12486,74,38
12487,4963,6448
12488,384,814
12489,108,2
12490,96,2
12491,72,0
12492,44,0
12493,6,3
12494,18,4
12495,5,1
12496,8,3
12497,197,76
12498,5583,2632
12499,702,316
12500,4,0
12501,71,24
12502,128,47
12503,118,45
12504,105,38
12505,587,267
12506,24,13
13097,277,82
13098,35,6
13099,63,12
13100,75,23
13101,72,37
13102,104,60
13103,33,8
13104,81,57
13105,87,44
13106,168,104
13107,1615,938
13108,116,74
13109,141,89
13110,74,31
13111,44,1
13112,36,1
13113,19,4
13114,30,13
13115,163,103
13116,1762,1506
13117,2080,1816
13118,72,37
13119,168,25
13120,78,2
13121,252,50
13122,90,0
13123,77,0
13124,26,0
13125,4,0
13126,11,5
13127,31,11
13128,111,42
13129,2,2
13130,8,3
13131,14,4
13132,1,0
13133,50,17
13134,343,147
13135,115,52
13136,0,0
13727,110,6
13728,99,23
13729,60,8
13730,44,8
13731,37,0
13732,28,3
13733,122,58
13734,63,17
13735,40,17
13736,145,85
13737,120,47
13738,94,35
13739,111,69
13740,104,44
13741,48,4
13742,100,45
13743,82,53
13744,162,111
13745,159,98
13746,869,1405
13747,127,70
13748,211,84
13749,60,0
13750,49,0
13751,59,5
13752,208,36
13753,213,29
13754,138,4
13755,58,9
13756,0,0
13757,10,3
13758,460,194
13759,296,132
13760,0,0
13761,0,0
13762,0,0
13763,39,14
13764,121,35
13765,679,306
13766,206,96
14358,31,5
14359,45,8
14360,77,30
14361,88,25
14362,23,2
14363,15,0
14364,81,34
14365,98,52
14366,9965,10956
14367,306,172
14368,105,39
14369,80,24
14370,77,21
14371,61,34
14372,53,26
14373,121,75
14374,118,81
14375,257,171
14376,5154,6332
14377,55,26
14378,71,5
14379,59,0
14380,81,0
14381,71,0
14382,144,24
14383,692,121
14384,140,12
14385,37,0
14386,0,0
14387,0,0
14388,95,33
14389,3351,1574
14390,98,35
