cause,age,alpha,beta,gamma,tmrel
IHD,25,6.417936078,0.028638622,0.344287575,4.011646587
IHD,25,29.5288793,0.00253464,0.417751841,4.15560375
IHD,25,120.9907877,0.000844997,0.377080866,3.577812969
IHD,25,146.7667513,0.000848557,0.364266391,5.092212209
IHD,25,5.042201305,0.024807698,0.378110904,4.847146666
IHD,25,32.50186805,0.00215032,0.431652902,5.077238537
IHD,25,74.31494958,0.002097383,0.32805138,5.898259558
IHD,25,7.112457494,0.013547263,0.420432723,5.032420981
IHD,25,20.34302951,0.003307703,0.426421447,3.832947956
IHD,25,7.341819549,0.017514398,0.382339309,5.889917386
IHD,25,136.4697465,0.000575668,0.394043868,5.44738234
IHD,25,8.224003614,0.009770099,0.439259185,4.172610956
IHD,25,35.42169959,0.003806849,0.34116601,5.304740403
IHD,25,68.30601403,0.000742581,0.464982907,3.083026877
IHD,25,12.83837671,0.015246133,0.312613541,2.781720366
IHD,25,7.18438001,0.008045365,0.449643027,5.178278656
IHD,25,32.46432415,0.005217359,0.320471728,2.827816317
IHD,25,46.29302414,0.002473057,0.374174638,2.499089845
IHD,25,10.05118124,0.008410411,0.40587119,2.601628126
IHD,25,91.38921921,0.000911625,0.383160723,3.58873801
IHD,25,22.2089873,0.005147247,0.37467653,4.954973313
IHD,25,16.38987167,0.003121854,0.464473246,5.419875436
IHD,25,40.45060644,0.00325848,0.332733321,5.463929008
IHD,25,14.54453322,0.008415206,0.363284791,3.568212228
IHD,25,98.40142768,0.001675861,0.332020257,3.977616173
IHD,25,6.320051856,0.032677265,0.351379025,2.545022586
IHD,25,47.32933534,0.001538489,0.423445361,2.595163346
IHD,25,54.47748412,0.00303416,0.323626327,3.026647485
IHD,25,10.96317745,0.017803379,0.332212322,2.73006607
IHD,25,13.41767053,0.015474062,0.313349469,4.261978502
IHD,25,15.55556446,0.010427746,0.342902553,3.548443975
IHD,25,9.060488986,0.006571466,0.462545969,5.345141487
IHD,25,38.59182813,0.001962089,0.408607483,2.668662872
IHD,25,8.039813532,0.011099457,0.418981731,4.651937323
IHD,25,9.297317807,0.016823719,0.367822095,4.704393762
IHD,25,19.25107377,0.011198867,0.310122644,3.257826953
IHD,25,7.588429096,0.006925186,0.474513668,3.803554249
IHD,25,7.120935696,0.026527575,0.326892488,4.33400871
IHD,25,11.58554108,0.020265003,0.302558933,3.994873917
IHD,25,14.24053396,0.003850127,0.460651096,4.885011145
IHD,25,14.4402136,0.003709495,0.466120807,4.772572994
IHD,25,44.11957477,0.002255358,0.36532751,3.855129427
IHD,25,38.91364798,0.003083135,0.377019564,3.027564004
IHD,25,12.99205697,0.005271039,0.428070844,3.404224226
IHD,25,14.49439139,0.010583862,0.331340271,5.374465484
IHD,25,7.399763541,0.022000923,0.355312597,2.477365776
IHD,25,17.22992678,0.005338535,0.394896452,2.773136878
IHD,25,14.96585836,0.006001428,0.403654832,2.77704468
IHD,25,34.16642491,0.004310151,0.333306799,3.068819222
IHD,25,66.63679851,0.001716295,0.379209723,4.948235648
IHD,25,78.26783624,0.001137087,0.387808252,4.404066009
IHD,25,12.43876025,0.008159012,0.391950756,4.618544281
IHD,25,8.53068991,0.012499155,0.395397283,2.592907982
IHD,25,7.532876976,0.020303603,0.364524715,3.056046904
IHD,25,49.19884428,0.002835018,0.353804076,5.444943473
IHD,25,8.115315,0.013644598,0.418466805,5.487368908
IHD,25,24.43548228,0.00291929,0.424207303,2.565645897
IHD,25,38.57829006,0.003146346,0.355827512,5.668297484
IHD,25,17.07358836,0.01024254,0.342815491,4.528802447
IHD,25,4.897058623,0.00722009,0.538143343,2.930647665
IHD,25,30.81248873,0.00553505,0.319403497,5.325942665
IHD,25,8.932537047,0.013454833,0.414304706,4.603902373
IHD,25,61.31070148,0.002443547,0.342386255,4.680110338
IHD,25,21.64783106,0.003489074,0.406178464,3.9374496
IHD,25,16.0590164,0.00592761,0.388083038,2.731549112
IHD,25,32.86575466,0.002300057,0.399198749,2.565646732
IHD,25,9.130922876,0.005617309,0.486793097,2.578755501
IHD,25,128.3403376,0.001033757,0.354470698,4.334050854
IHD,25,32.33853512,0.002384285,0.423802455,4.499699539
IHD,25,12.4874781,0.009248213,0.38792645,4.596051793
IHD,25,5.859352009,0.012500222,0.467679024,3.776284943
IHD,25,49.58180809,0.00170025,0.412244648,4.673583522
IHD,25,15.9310643,0.017385531,0.27003251,4.898168265
IHD,25,19.44194505,0.007716089,0.346798009,5.841400495
IHD,25,64.02734954,0.001461234,0.396941454,5.470626126
IHD,25,16.82058608,0.005340681,0.409951335,3.481772219
IHD,25,35.65759415,0.001655353,0.438024799,4.761151071
IHD,25,23.37292328,0.006583718,0.347891681,4.746080587
IHD,25,9.661872213,0.007991981,0.455654909,5.567065412
IHD,25,9.763496939,0.013777425,0.363038108,2.956598191
IHD,25,24.47918784,0.005518163,0.342018977,3.334045426
IHD,25,12.28206519,0.0196346,0.309195106,3.466819605
IHD,25,40.35560401,0.003930014,0.32676165,3.481406393
IHD,25,9.695134396,0.012172108,0.378092613,4.856752185
IHD,25,5.208135502,0.022247358,0.415250896,5.258240762
IHD,25,11.63680687,0.010005102,0.373838321,5.806543792
IHD,25,39.71374423,0.002394985,0.396849732,3.216723964
IHD,25,18.30526548,0.006689742,0.357905849,4.128753869
IHD,25,29.62312437,0.001619682,0.457502975,4.303753835
IHD,25,5.387945837,0.050573777,0.318289829,5.456655191
IHD,25,13.36424736,0.00846088,0.383010521,3.581266097
IHD,25,24.37560425,0.001215275,0.501707907,3.470740629
IHD,25,22.80056294,0.003852527,0.407045571,2.632832186
IHD,25,90.65011278,0.00120776,0.373941378,5.682751258
IHD,25,41.48952163,0.002860715,0.373465679,2.617342037
IHD,25,8.475108063,0.018104935,0.367222206,4.685394066
IHD,25,62.06180036,0.00260049,0.331415726,3.256192813
IHD,25,6.389273962,0.016336742,0.448741891,5.59441579
IHD,25,17.85346422,0.008098464,0.361283773,4.162463919
IHD,25,281.8750645,0.000421514,0.343178349,5.261844378
IHD,25,7.017605208,0.009205982,0.458178699,2.837797632
IHD,25,13.964358,0.010526384,0.326702451,3.463908959
IHD,25,25.96737424,0.010698006,0.285107185,3.650462563
IHD,25,7.983471322,0.015209422,0.362254618,4.066921491
IHD,25,111.0026495,0.000700082,0.405873013,4.865993513
IHD,25,28.51720645,0.001256054,0.506188052,5.754789019
IHD,25,19.67657273,0.006290671,0.364397387,4.325695731
IHD,25,35.7063842,0.007147137,0.274700575,3.011326975
IHD,25,7.360724833,0.016751757,0.365213269,4.347921583
IHD,25,6.846476412,0.012945736,0.424131129,2.792853549
IHD,25,7.125500663,0.014677083,0.404369145,5.136965222
IHD,25,9.704545689,0.011084973,0.399672647,4.130210042
IHD,25,9.909672651,0.011827219,0.374432175,2.477588131
IHD,25,29.26616817,0.001667668,0.461559123,5.201133047
IHD,25,14.85367498,0.011137265,0.33602492,4.990039565
IHD,25,24.54973377,0.004364068,0.375817536,3.485092215
IHD,25,30.38717776,0.007795931,0.297990116,2.743463509
IHD,25,32.7869513,0.00298943,0.392526343,5.59575523
IHD,25,6.988276875,0.017089359,0.400050657,4.588116076
IHD,25,5.516528173,0.021704109,0.41483312,5.770535053
IHD,25,8.269391378,0.016608666,0.373987922,5.407155893
IHD,25,36.40002819,0.009245106,0.247957596,4.473406707
IHD,25,22.17683572,0.007055654,0.341109446,2.867415429
IHD,25,6.571860465,0.004274824,0.549788365,5.707898505
IHD,25,37.85732033,0.003696123,0.341251723,5.343764318
IHD,25,14.13509982,0.011703594,0.350132132,4.633884731
IHD,25,134.6865499,0.001126575,0.338829765,4.198388172
IHD,25,13.23408409,0.008204598,0.386481668,4.62279247
IHD,25,35.14639854,0.003827256,0.350255473,5.080495468
IHD,25,5.039961921,0.016206712,0.446157503,4.317953236
IHD,25,9.347991444,0.016302874,0.342256974,3.045594738
IHD,25,19.03007292,0.004991779,0.396064539,4.964086939
IHD,25,11.3276766,0.008306582,0.394713293,2.898895055
IHD,25,228.5101774,0.00057464,0.349996936,4.912598132
IHD,25,90.86238221,0.001251252,0.357187536,5.322058214
IHD,25,9.021907078,0.015033656,0.356436267,5.25134093
IHD,25,89.7162348,0.001094824,0.380397712,3.974068535
IHD,25,8.543741814,0.006941539,0.461615582,3.911953016
IHD,25,23.20281278,0.004535968,0.368822352,3.913660662
IHD,25,23.46558067,0.005428553,0.366661863,3.104192355
IHD,25,106.1756873,0.000663929,0.439500353,2.698358144
IHD,25,12.71176646,0.003465596,0.471910013,4.258366208
IHD,25,17.47466528,0.012249746,0.294854287,5.487004134
IHD,25,69.03008292,0.003090554,0.313222397,4.114470941
IHD,25,77.03380832,0.001788121,0.337433271,4.10973084
IHD,25,141.8610417,0.001500783,0.292212434,2.966467075
IHD,25,4.721607209,0.039993921,0.362130289,5.258074017
IHD,25,18.39724032,0.006551031,0.369660207,3.914835358
IHD,25,29.4384107,0.002626727,0.421732192,2.763165722
IHD,25,33.46490465,0.002925782,0.385081251,2.650389656
IHD,25,32.53242656,0.002902503,0.382725914,4.474701682
IHD,25,72.02430711,0.002241923,0.314355538,4.131634657
IHD,25,131.7527764,0.00066588,0.398649425,4.90805394
IHD,25,20.10267356,0.004540952,0.405381004,5.850410858
IHD,25,23.07845613,0.006399073,0.34892568,5.063272932
IHD,25,11.13559143,0.007170366,0.423696548,5.841023311
IHD,25,142.7108868,0.000476263,0.428408904,5.03888163
IHD,25,14.62412004,0.012201578,0.318283632,3.479571184
IHD,25,15.84338513,0.002314134,0.49658804,4.514192586
IHD,25,16.66337327,0.007943741,0.361009563,2.688184617
IHD,25,39.09457586,0.005713108,0.295612412,4.945085815
IHD,25,8.387338796,0.019865649,0.334896011,5.20157493
IHD,25,73.66271672,0.001415045,0.385930454,3.599216636
IHD,25,40.89688241,0.002306033,0.387118395,4.136385904
IHD,25,6.263607877,0.023666574,0.394075386,5.308742908
IHD,25,32.07757759,0.00182663,0.438684926,3.993382868
IHD,25,41.65990788,0.00524417,0.3030928,2.59014775
IHD,25,45.02846044,0.002755386,0.348386645,2.927601317
IHD,25,27.36450082,0.004012711,0.382222022,2.446029844
IHD,25,9.294706881,0.009588056,0.411150785,4.096759771
IHD,25,190.235314,0.000609874,0.36688739,5.766557143
IHD,25,5.841229334,0.018061849,0.379112763,2.706449558
IHD,25,9.065544456,0.028745858,0.291575479,5.130978066
IHD,25,34.15634869,0.002964924,0.38028392,3.603237118
IHD,25,46.72379382,0.004440345,0.306324609,4.114010887
IHD,25,7.310066193,0.018402818,0.388081549,5.870530124
IHD,25,65.81066435,0.003257026,0.313523961,2.628668561
IHD,25,30.09858446,0.005817094,0.329382271,4.487829522
IHD,25,7.186078006,0.021172164,0.382867409,2.585974297
IHD,25,8.673713784,0.009333631,0.412917777,5.352993288
IHD,25,44.16007443,0.005763312,0.278234381,3.763756213
IHD,25,64.56784919,0.002303137,0.336798569,4.206643455
IHD,25,245.8476723,0.000442017,0.373126132,5.118628236
IHD,25,24.22975816,0.002801707,0.41360036,3.49774337
IHD,25,312.7812745,0.000252957,0.405949772,4.796513739
IHD,25,7.964039548,0.008299025,0.448732951,2.412503125
IHD,25,18.64703932,0.005222167,0.395020815,3.983181535
IHD,25,35.03054757,0.003676437,0.366607205,4.857084037
IHD,25,13.81918175,0.003268867,0.459989655,3.325876317
IHD,25,46.54736703,0.001586495,0.423222857,4.867747922
IHD,25,37.91586319,0.002564521,0.392295217,5.341065562
IHD,25,19.66304901,0.004994012,0.381791971,5.267546561
IHD,25,14.3858368,0.009788649,0.346662054,3.02154859
IHD,25,240.4633017,0.000913361,0.290032156,4.466968325
IHD,25,39.86648189,0.001532053,0.450701367,5.869362612
IHD,25,98.75441799,0.001882555,0.313755934,3.641089941
IHD,25,12.50273958,0.009565222,0.357437604,3.915223075
IHD,25,43.35288946,0.001943909,0.406621279,3.978525049
IHD,25,77.2340846,0.001059516,0.386589372,5.842810631
IHD,25,23.48942502,0.003340324,0.412673035,3.23500542
IHD,25,8.539724205,0.015239739,0.360302235,5.537042783
IHD,25,36.13915221,0.002977958,0.373072414,4.907856445
IHD,25,147.56011,0.00054229,0.403105724,4.598424015
IHD,25,22.44158154,0.005411321,0.354210948,5.446001652
IHD,25,24.91804654,0.004084027,0.370575516,4.564693475
IHD,25,78.61385534,0.000746917,0.434338806,3.513597488
IHD,25,29.20488571,0.004006817,0.369663934,5.277642326
IHD,25,92.50703039,0.000489742,0.458281584,3.902528912
IHD,25,21.11686939,0.004812827,0.394437625,4.446443798
IHD,25,6.283675032,0.018210487,0.414018914,4.43485178
IHD,25,5.931994618,0.018133751,0.40970502,4.55447147
IHD,25,10.89669894,0.016246362,0.333569375,5.283610319
IHD,25,7.640594183,0.043451395,0.279703742,3.40868292
IHD,25,6.211685011,0.020271121,0.389150358,2.55116305
IHD,25,11.26086368,0.010509282,0.383711393,4.817499484
IHD,25,17.68693237,0.009953338,0.324087014,4.354621308
IHD,25,10.28024047,0.005452539,0.482635686,5.087493738
IHD,25,29.30182307,0.004030967,0.377114155,5.129422562
IHD,25,6.650521156,0.016987374,0.396825858,3.640540956
IHD,25,129.7184575,0.000853562,0.369041531,4.074636988
IHD,25,16.32024121,0.00685744,0.387132957,3.036504065
IHD,25,95.24689168,0.001377796,0.342363427,4.49064158
IHD,25,35.03660979,0.004919171,0.317817486,2.73639328
IHD,25,4.601687491,0.019075124,0.471475829,4.894039605
IHD,25,49.77302927,0.004820831,0.277994007,4.301967251
IHD,25,17.65627732,0.007149191,0.37675472,5.360287773
IHD,25,7.397953684,0.019212281,0.35980428,5.31584467
IHD,25,19.98662927,0.003231096,0.435564294,4.967513173
IHD,25,62.64373308,0.002742254,0.327637662,4.302047059
IHD,25,19.85422092,0.005449927,0.380408446,4.242945375
IHD,25,5.575670591,0.020162942,0.405162261,4.289640609
IHD,25,14.92108804,0.00374306,0.45499291,3.326359003
IHD,25,80.28713371,0.001459057,0.3498251,4.98603277
IHD,25,19.84344848,0.006869998,0.357616294,5.069292711
IHD,25,21.1742803,0.003525844,0.421442252,4.228280277
IHD,25,84.43557418,0.001814196,0.327189712,5.509688591
IHD,25,84.18153951,0.001636481,0.328287829,5.730843401
IHD,25,6.567816117,0.010228143,0.456427783,3.063706254
IHD,25,99.90065378,0.000838339,0.398794339,5.015232145
IHD,25,108.1600042,0.002323403,0.288653346,5.189580509
IHD,25,10.50403643,0.005442367,0.442462682,5.272532038
IHD,25,16.18911903,0.012036293,0.296473538,4.804307256
IHD,25,36.86458141,0.002744946,0.385131302,5.896912306
IHD,25,28.67127101,0.007340675,0.302032841,5.473755351
IHD,25,6.288581145,0.043197594,0.319887679,3.128777592
IHD,25,10.8974283,0.018609811,0.326748288,2.955256095
IHD,25,15.45695965,0.007155403,0.356135705,5.481548509
IHD,25,31.24872886,0.002711945,0.400303719,3.983588834
IHD,25,70.29539888,0.001110867,0.42362957,3.421540095
IHD,25,6.713504141,0.014747466,0.386055382,3.496641571
IHD,25,13.59773235,0.006409343,0.400630959,5.614885566
IHD,25,30.98894778,0.00304046,0.40253096,2.454890136
IHD,25,13.11089396,0.016168122,0.322179292,2.633516306
IHD,25,20.1164836,0.008056499,0.323767893,5.08914381
IHD,25,20.67924736,0.005064784,0.378799089,5.793635956
IHD,25,198.3669283,0.000472314,0.384769555,3.305654121
IHD,25,11.24613014,0.008737007,0.403991092,3.764301812
IHD,25,67.18105878,0.002547584,0.31897853,5.143609323
IHD,25,8.375406181,0.006830356,0.453835368,3.833692565
IHD,25,38.12493536,0.001702901,0.447420338,2.716569776
IHD,25,12.46509427,0.007989532,0.393141633,2.956662211
IHD,25,13.23470308,0.012466226,0.34488041,2.67328018
IHD,25,28.6839539,0.003431316,0.382348967,3.788527897
IHD,25,9.222824103,0.018914081,0.341087603,3.72135888
IHD,25,51.43735683,0.003059044,0.331387658,5.461609213
IHD,25,32.0317595,0.006167202,0.318756813,5.518612612
IHD,25,83.87186833,0.002243424,0.310935148,5.377089739
IHD,25,12.69414435,0.009688691,0.362901199,3.700497753
IHD,25,30.26811527,0.002884028,0.388950817,5.641933634
IHD,25,26.34084046,0.005598659,0.339096612,2.811609406
IHD,25,45.34841918,0.002854898,0.35480686,4.305720291
IHD,25,255.7120581,0.000596378,0.356521435,4.528933989
IHD,25,9.446327679,0.01104669,0.420177305,3.915814852
IHD,25,7.362444065,0.014480491,0.41604543,4.311568007
IHD,25,15.78385659,0.007926513,0.350498971,3.529957648
IHD,25,12.36886292,0.009867578,0.362992159,2.481784318
IHD,25,15.46113513,0.009841859,0.349394765,4.106255786
IHD,25,85.94785449,0.001692522,0.340766529,5.349143379
IHD,25,34.82386483,0.00202382,0.420886906,4.596155844
IHD,25,24.59050251,0.004302404,0.379569851,3.500034634
IHD,25,4.498062037,0.018621852,0.457507222,3.907441992
IHD,25,18.50458087,0.007911726,0.371991533,2.449255072
IHD,25,17.52036517,0.004983341,0.417889724,2.481831119
IHD,25,10.30947958,0.006309371,0.470284428,4.528390954
IHD,25,20.81801334,0.004850967,0.393528418,2.966490563
