x,y,human20_585
18.19,105.99,
18.19,106.23,
18.19,106.47,
18.19,106.71,
18.19,106.95,
18.19,107.18,
18.19,107.42,
18.19,107.66,
18.19,107.9,
18.18,108.14,
18.18,108.38,
18.17,108.61,
18.17,108.85,
18.16,109.09,
18.16,109.33,
18.15,109.57,
18.14,109.81,
18.13,110.04,
18.12,110.28,
18.11,110.52,
18.1,110.76,
18.09,111,
18.08,111.23,
18.06,111.47,
18.05,111.71,
18.04,111.95,
18.02,112.18,
18.01,112.42,
17.99,112.66,
17.97,112.9,
17.95,113.13,
17.94,113.37,
17.92,113.61,
17.9,113.84,
17.88,114.08,
17.86,114.32,
17.84,114.55,
17.81,114.79,
17.79,115.03,
17.77,115.26,
17.74,115.5,
17.72,115.73,
17.69,115.97,
17.67,116.2,
17.64,116.44,
17.61,116.67,
17.58,116.91,
17.56,117.14,
17.53,117.38,
17.5,117.61,
17.47,117.85,
17.43,118.08,
17.4,118.31,
17.37,118.55,
17.34,118.78,
17.3,119.01,
17.27,119.25,
17.23,119.48,
17.2,119.71,
17.16,119.94,
17.12,120.18,
17.09,120.41,40488.41024
17.05,120.64,49989.02818
17.01,120.87,37541.95062
16.97,121.1,41391.66104
16.93,121.33,140195.9802
16.89,121.56,290230.7508
16.85,121.79,119797.3148
16.8,122.02,12203.60544
16.76,122.25,
16.72,122.48,
16.67,122.71,
16.63,122.94,
16.58,123.17,
16.54,123.4,
16.49,123.63,
16.45,123.86,
16.4,124.08,
16.35,124.31,
16.3,124.54,
16.25,124.76,
16.2,124.99,
16.15,125.22,
16.1,125.44,0
14.73,82.16,0
14.8,82.37,0
14.86,82.59,0
14.93,82.81,0
14.99,83.03,0
15.06,83.25,0
15.12,83.47,0
15.18,83.69,0
15.25,83.91,0
15.31,84.13,0
15.37,84.35,0
15.43,84.57,0
15.49,84.79,0
15.55,85.01,0
15.61,85.23,0
15.67,85.46,0
15.73,85.68,0
15.79,85.9,0
15.84,86.13,0
15.9,86.35,0
15.95,86.57,0
16.01,86.8,0
16.06,87.02,0
16.12,87.25,0
16.17,87.47,0
16.23,87.7,0
16.28,87.93,0
16.33,88.15,0
16.38,88.38,0
16.43,88.61,0
16.48,88.83,0
16.53,89.06,0
16.58,89.29,0
16.63,89.52,0
16.68,89.74,0
16.72,89.97,
16.77,90.2,
16.82,90.43,
16.86,90.66,
16.91,90.89,
16.95,91.12,
16.99,91.35,
17.04,91.58,
17.08,91.81,
17.12,92.04,
17.16,92.28,
17.2,92.51,
17.24,92.74,
17.28,92.97,
17.32,93.2,
17.35,93.44,
17.39,93.67,
17.43,93.9,
17.46,94.13,
17.5,94.37,
17.53,94.6,30059.9399
17.57,94.84,50117.75045
17.6,95.07,139596.6302
17.63,95.3,152779.5104
17.67,95.54,77068.34597
17.7,95.77,92794.23194
17.73,96.01,92766.38197
17.76,96.24,96070.38009
17.79,96.48,142248.2461
17.82,96.71,81576.85196
17.84,96.95,19090.63676
17.87,97.18,1928.149009
17.9,97.42,1288.127658
17.92,97.66,11283.77407
17.95,97.89,15431.48114
17.97,98.13,17634.28723
18,98.37,25161.20083
18.02,98.6,27037.69363
18.04,98.84,35947.08185
18.07,99.08,35841.3998
18.09,99.31,78134.65089
18.11,99.55,37489.30937
18.13,99.79,44242.1814
18.15,100.02,72490.44398
18.17,100.26,22383.99803
18.18,100.5,15861.2724
18.2,100.74,17494.04015
18.22,100.98,15719.25296
18.24,101.21,16111.00086
18.25,101.45,13692.60438
18.27,101.69,30023.97851
18.28,101.93,21013.87149
18.29,102.17,22018.08966
18.31,102.41,103849.4088
18.32,102.64,15104.0693
18.33,102.88,1385.944214
18.34,103.12,24386.40041
18.35,103.36,41478.76347
18.36,103.6,53360.39503
18.37,103.84,9331.348275
18.38,104.08,4770.979659
18.38,104.32,13618.94697
18.39,104.55,3874.710981
18.4,104.79,5254.282127
18.4,105.03,46970.95849
18.41,105.27,78052.86607
18.41,105.51,234665.3057
18.41,105.75,
18.42,105.99,
18.42,106.23,
18.42,106.47,
18.42,106.71,
18.42,106.95,
18.42,107.19,
18.42,107.42,
18.42,107.66,
18.41,107.9,
18.41,108.14,
18.41,108.38,
18.4,108.62,
18.39,108.86,
18.39,109.1,119613.5581
18.38,109.34,198833.0984
18.37,109.58,
18.37,109.82,
18.36,110.05,
18.35,110.29,
18.34,110.53,
18.33,110.77,
18.31,111.01,
18.3,111.25,
18.29,111.49,
18.28,111.72,
18.26,111.96,
18.25,112.2,
18.23,112.44,
18.21,112.68,
18.2,112.91,
18.18,113.15,
18.16,113.39,
18.14,113.63,
18.12,113.87,
18.1,114.1,
18.08,114.34,
18.06,114.58,
18.04,114.81,
18.02,115.05,
17.99,115.29,
17.97,115.52,
17.94,115.76,
17.92,116,
17.89,116.23,
17.86,116.47,
17.84,116.7,
17.81,116.94,
17.78,117.17,
17.75,117.41,
17.72,117.64,
17.69,117.88,
17.66,118.11,
17.62,118.35,
17.59,118.58,
17.56,118.82,
17.52,119.05,
17.49,119.28,
17.45,119.52,
17.42,119.75,
17.38,119.98,
17.34,120.22,
