x,y,human20_585
17.41,95.34,24.359594
17.44,95.57,23.974665
17.47,95.8,22.822338
17.5,96.04,22.864008
17.53,96.27,22.369715
17.56,96.51,20.921368
17.59,96.74,20.558426
17.62,96.98,21.589106
17.65,97.21,22.22323
17.67,97.45,21.32414
17.7,97.68,23.627293
17.72,97.92,23.739134
17.75,98.15,23.81648
17.77,98.39,23.226948
17.8,98.63,22.880295
17.82,98.86,23.56323
17.84,99.1,23.848936
17.86,99.33,24.648243
17.88,99.57,23.811565
17.9,99.81,23.587269
17.92,100.04,24.261415
17.94,100.28,24.865425
17.96,100.52,25.393095
17.98,100.76,25.783031
17.99,100.99,25.908875
18.01,101.23,26.353243
18.02,101.47,27.026203
18.04,101.71,26.167784
18.05,101.94,26.220446
18.07,102.18,25.675573
18.08,102.42,24.61387
18.09,102.66,24.763056
18.1,102.89,24.701475
18.11,103.13,23.983404
18.12,103.37,24.195433
18.13,103.61,24.820158
18.14,103.85,24.839903
18.15,104.08,26.185898
18.16,104.32,27.59815
18.16,104.56,27.273336
18.17,104.8,26.986275
18.18,105.04,27.015373
18.18,105.28,27.110384
18.18,105.51,26.708767
18.19,105.75,27.307137
18.19,105.99,27.020117
18.19,106.23,28.13142
18.19,106.47,29.935
18.19,106.71,31.41219
18.19,106.95,32.225376
18.19,107.18,32.65102
18.19,107.42,32.852528
18.19,107.66,32.80844
18.19,107.9,32.63458
18.18,108.14,32.447178
18.18,108.38,32.25439
18.17,108.61,32.085655
18.17,108.85,31.901909
18.16,109.09,31.91825
18.16,109.33,31.947062
18.15,109.57,32.22783
18.14,109.81,31.506666
18.13,110.04,31.095268
18.12,110.28,30.875679
18.11,110.52,30.884323
18.1,110.76,30.702991
18.09,111,30.593565
18.08,111.23,30.363436
18.06,111.47,30.273064
18.05,111.71,30.088835
18.04,111.95,29.98917
18.02,112.18,29.89059
18.01,112.42,29.731396
17.99,112.66,29.66982
17.97,112.9,29.552408
17.95,113.13,29.338087
17.94,113.37,29.080648
17.92,113.61,28.828232
17.9,113.84,28.503078
17.88,114.08,28.119797
17.86,114.32,27.760233
17.84,114.55,27.348057
17.81,114.79,27.005358
17.79,115.03,26.71771
17.77,115.26,26.447489
17.74,115.5,26.209497
17.72,115.73,26.025179
17.69,115.97,25.881048
17.67,116.2,25.827854
17.64,116.44,25.811815
17.61,116.67,25.773392
17.58,116.91,25.712543
17.56,117.14,25.711277
17.53,117.38,25.749418
17.5,117.61,25.782642
17.47,117.85,25.73386
17.43,118.08,25.794025
17.4,118.31,26.021086
17.37,118.55,26.205782
17.34,118.78,26.500122
17.3,119.01,26.688269
17.27,119.25,26.796026
17.23,119.48,27.08517
17.2,119.71,27.228436
17.16,119.94,27.335415
17.12,120.18,27.097847
17.09,120.41,25.859468
17.05,120.64,22.385614
17.01,120.87,22.296137
16.97,121.1,22.771744
16.93,121.33,23.68851
16.89,121.56,24.657578
16.85,121.79,23.538094
16.8,122.02,23.390253
16.76,122.25,23.567505
16.72,122.48,25.965134
16.67,122.71,25.607803
16.63,122.94,25.897047
16.58,123.17,25.619942
16.54,123.4,25.237211
16.49,123.63,24.99075
16.45,123.86,24.735806
16.4,124.08,24.48279
16.35,124.31,24.074482
16.3,124.54,23.54625
16.25,124.76,23.300665
16.2,124.99,22.943256
16.15,125.22,22.609821
16.1,125.44,22.260191
14.73,82.16,32.03626
14.8,82.37,32.298775
14.86,82.59,32.30991
14.93,82.81,32.33602
